province,year,Okuma Yazma Bilmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,İlkokul,Ortaokul veya Dengi Meslek Okulu,İlköğretim,Lise veya Dengi Meslek Okulu,Yüksekokul veya Fakülte,Yüksek Lisans ve Üzeri,Bilinmeyen,Toplam
SİİRT,2018,21.328,49.010,59.639,44.438,38.865,41.068,26.188,2.019,1.448,284.003
SİİRT,2023,16.914,45.195,52.700,70.405,15.636,63.741,36.459,4.448,890,306.388
SİNOP,2008,21.371,37.433,62.274,6.344,20.453,21.055,8.493,290,8.418,186.131
SİNOP,2013,10.061,35.899,57.650,6.755,34.281,25.395,15.944,921,3.040,189.946
SİNOP,2018,8.350,21.012,64.282,24.041,26.339,33.465,22.434,1.940,1.731,203.594
SİNOP,2023,6.514,18.854,62.471,32.585,19.162,43.726,28.264,3.376,2.240,217.192
SİVAS,2008,55.852,120.523,146.549,24.116,64.447,90.625,23.992,1.469,42.268,569.841
SİVAS,2013,34.630,109.244,124.871,23.918,105.486,100.590,50.140,3.589,13.857,566.325
SİVAS,2018,30.490,58.287,148.937,77.399,67.862,125.612,66.995,7.487,6.450,589.519
SİVAS,2023,23.572,54.510,135.615,101.652,38.690,149.705,84.402,12.287,6.462,606.895
ŞANLIURFA,2008,210.589,532.730,169.298,17.981,113.023,82.228,19.316,1.550,153.680,1.300.395
ŞANLIURFA,2013,137.677,589.671,178.268,22.721,299.513,116.982,61.130,4.364,65.937,1.476.263
ŞANLIURFA,2018,132.476,352.749,401.106,263.159,220.698,172.696,105.027,9.316,11.541,1.668.768
ŞANLIURFA,2023,109.190,347.995,399.557,452.537,104.068,282.872,147.793,18.468,10.211,1.872.691
ŞIRNAK,2008,67.761,137.268,30.868,3.223,39.957,31.752,6.317,630,33.530,351.306
ŞIRNAK,2013,37.961,151.399,40.512,4.801,90.344,39.086,18.753,1.082,11.371,395.309
ŞIRNAK,2018,31.439,79.715,97.008,70.383,62.357,58.774,36.346,1.986,5.557,443.565
ŞIRNAK,2023,23.873,73.725,80.876,125.898,18.955,107.298,51.822,5.240,5.607,493.294
TEKİRDAĞ,2008,29.090,118.950,238.749,38.894,69.931,127.100,37.188,2.301,41.010,703.213
TEKİRDAĞ,2013,14.453,132.707,190.392,37.791,163.396,160.295,73.112,5.677,18.261,796.084
TEKİRDAĞ,2018,13.406,83.398,236.287,125.575,139.648,205.603,112.810,10.765,5.864,933.356
TEKİRDAĞ,2023,13.868,91.117,235.277,195.862,90.937,269.266,160.218,17.975,5.975,1.080.495
TOKAT,2008,61.231,121.929,171.331,19.167,63.097,71.059,21.611,1.188,31.785,562.398
TOKAT,2013,18.178,129.388,140.922,20.606,106.497,79.979,42.173,3.410,6.732,547.885
TOKAT,2018,15.474,72.051,158.139,74.168,72.110,101.526,60.523,6.057,2.362,562.410
TOKAT,2023,13.038,61.646,144.867,95.294,44.340,121.880,75.128,9.524,4.039,569.756
TRABZON,2008,61.242,138.830,176.230,29.630,73.376,126.425,40.642,2.365,37.623,686.363
TRABZON,2013,34.426,126.156,146.532,29.827,117.018,144.612,72.591,7.270,16.662,695.094
TRABZON,2018,29.370,74.534,172.079,90.276,68.087,179.610,104.561,11.786,5.871,736.174
TRABZON,2023,23.084,71.375,161.034,113.167,41.927,201.402,131.878,17.889,8.379,770.135
TUNCELİ,2008,9.271,12.520,16.702,2.801,10.191,18.818,3.880,262,6.688,81.133
TUNCELİ,2013,5.922,10.969,14.115,3.060,14.368,19.311,9.384,568,2.393,80.090
TUNCELİ,2018,5.047,6.281,15.886,8.455,9.398,21.111,13.936,1.112,975,82.201
TUNCELİ,2023,3.897,5.943,14.923,10.537,4.908,24.529,16.136,1.822,1.201,83.896
UŞAK,2008,25.904,55.240,112.234,13.896,31.016,44.292,14.044,659,9.691,306.976
UŞAK,2013,8.992,58.449,86.342,13.003,67.531,51.921,26.803,2.050,2.285,317.376
UŞAK,2018,6.744,32.623,92.930,40.089,49.528,66.634,37.509,3.698,2.782,332.537
UŞAK,2023,5.683,30.545,87.059,58.120,33.389,79.366,48.859,6.121,4.680,353.822
VAN,2008,148.973,318.282,113.123,14.045,87.152,66.160,15.672,1.679,77.025,842.111
VAN,2013,72.350,350.961,118.103,14.546,188.391,91.699,41.284,2.898,24.939,905.171
VAN,2018,58.187,185.523,225.114,152.446,133.392,121.431,71.546,7.360,4.615,959.614
VAN,2023,46.966,166.372,199.801,225.928,59.052,181.965,99.610,14.670,3.258,997.622
YALOVA,2008,7.085,31.619,52.776,11.051,17.211,32.771,11.251,652,17.664,182.080
YALOVA,2013,4.682,30.493,43.533,11.231,34.367,42.854,21.972,2.104,9.286,200.522
YALOVA,2018,4.267,17.979,53.520,30.544,23.701,53.317,33.902,3.722,3.108,224.060
YALOVA,2023,4.208,21.992,54.872,48.712,14.735,77.641,48.450,6.464,7.194,284.268
YOZGAT,2008,43.967,98.416,126.100,14.727,48.106,54.704,12.413,732,37.886,437.051
YOZGAT,2013,19.819,81.562,109.314,15.274,74.757,60.901,25.316,1.816,12.984,401.743
YOZGAT,2018,15.863,41.624,115.041,48.457,44.219,72.009,34.968,3.297,7.441,382.919
YOZGAT,2023,12.682,37.476,102.996,66.479,26.607,87.375,45.194,5.310,9.574,393.693
ZONGULDAK,2008,47.864,100.810,190.610,25.243,60.675,90.536,26.685,1.622,25.043,569.088
ZONGULDAK,2013,34.357,89.952,144.648,22.955,102.509,101.568,45.896,3.467,9.504,554.856
ZONGULDAK,2018,27.997,48.340,155.485,67.690,66.997,118.902,61.472,6.009,3.095,555.987
ZONGULDAK,2023,22.023,42.620,140.514,85.113,44.844,135.734,76.799,8.935,4.858,561.440
